addressid,customer_city,customer_country,customer_state,customer_zipcode,customer_streetname,customer_streetnumber
1,Caguas,Puerto Rico,PR,725,Cotton Walk,4579
2,Caguas,Puerto Rico,PR,725,Little Moor,3587
3,Caguas,Puerto Rico,PR,725,Colonial Mall,4389
4,San Antonio,USA,TX,78228,Rustic Spring Glade,8213
5,Spring Valley,USA,NY,10977,Crystal Spring Trail,4546
6,Brooklyn,USA,NY,11218,Crystal Farm,961
7,Caguas,Puerto Rico,PR,725,Crystal River Mall,10
8,Los Angeles,USA,CA,90032,Tawny Field,3185
9,Annapolis,USA,MD,21401,Colonial Glen,456
10,Caguas,Puerto Rico,PR,725,Round Pine Hollow,479
11,Carrollton,USA,TX,75006,Thunder Gate Beach,948
12,Caguas,Puerto Rico,PR,725,Cozy Prairie Highway,371
13,Rowland Heights,USA,CA,91748,Dewy Route ,3202
14,Caguas,Puerto Rico,PR,725,Hidden Blossom Square,2743
15,Webster,USA,NY,14580,Bright Route,8632
16,Virginia Beach,USA,VA,23454,Umber Robin Bend,7497
17,Murfreesboro,USA,TN,37130,Wishing Mount,6711
18,Santa Ana,USA,CA,92707,High Spring Cove,1557
19,Ann Arbor,USA,MI,48103,Tawny Jetty,2262
20,Brooklyn,USA,NY,11226,Dusty Log Court,3307
21,Tucson,USA,AZ,85713,Emerald Boulevard,7262
22,Troy,USA,MI,48098,Tawny Range,681
23,Miami,USA,FL,33125,Lazy Horse Drive,9420
24,Washington,USA,DC,20020,Iron Apple Landing,9050
25,Caguas,Puerto Rico,PR,725,Easy Highway,1726
26,Caguas,Puerto Rico,PR,725,Red Berry Village,1475
27,Grove City,USA,OH,43123,Thunder Ramp,1795
28,Caguas,Puerto Rico,PR,725,Hazy Cloud Trail,4280
29,Caguas,Puerto Rico,PR,725,Foggy Wagon  Place,503
30,New York,USA,NY,10024,Dusty Mount ,1690
31,Caguas,Puerto Rico,PR,725,Silver Bear Park,6001
32,San Diego,USA,CA,92117,Gentle Nectar Chase,5768
33,Caguas,Puerto Rico,PR,725,Rocky Inlet,7446
34,Goose Creek,USA,SC,29445,High River Rise,1782
35,Fontana,USA,CA,92335,Amber Woods,7717
36,Manati,Puerto Rico,PR,674,Round Bluff Cape,623
37,Caguas,Puerto Rico,PR,725,Quaking Berry Corners,6764
38,Fayetteville,USA,NC,28314,Silent Route,1426
39,Flushing,USA,NY,11354,Heather Quail Court,5364
40,Miami,USA,FL,33162,Crystal Autumn Drive,8298
41,Huntington Beach,USA,CA,92647,Easy Rabbit Abbey,1185
